[metadata]
command=aff3ct -p 32 -N 40 -K 20 -C "LDPC" --src-implem FAST --chn-implem FAST --enc-type "LDPC_5G" -m 0.0 -M 8.0 -s 1.0 --dec-type BP_HORIZONTAL_LAYERED --dec-no-synd -i 10 --dec-implem SPA
title=LDPC (40,20) BPHL-SPA 10 ite. 5G NR UL-SCH

[trace]
# ----------------------------------------------------
# ---- A FAST FORWARD ERROR CORRECTION TOOLBOX >> ----
# ----------------------------------------------------
# Parameters:
# * Simulation ------------------------------------
#    ** Type                      = BFER
#    ** Type of bits              = int32
#    ** Type of reals             = float32
#    ** Date (UTC)                = 2026-06-24 21:51:47
#    ** Git version               = v4.4.0-20-g5e083bc
#    ** Code type (C)             = LDPC
#    ** Noise range               = 0 -> 8 dB
#    ** Noise type (E)            = EBN0
#    ** Seed                      = 0
#    ** Statistics                = off
#    ** Debug mode                = off
#    ** Inter frame level         = 1
#    ** Multi-threading (t)       = 16 thread(s)
#    ** Coset approach (c)        = no
#    ** Coded monitoring          = no
#    ** Bad frames tracking       = off
#    ** Bad frames replay         = off
#    ** Bit rate                  = 0.5 (1/2)
# * Source ----------------------------------------
#    ** Type                      = RAND
#    ** Implementation            = FAST
#    ** Info. bits (K_info)       = 20
# * Codec -----------------------------------------
#    ** Type                      = LDPC
#    ** Info. bits (K)            = 20
#    ** Codeword size (N_cw)      = 208
#    ** Frame size (N)            = 40
#    ** Code rate                 = 0.5 (1/2)
# * Encoder ---------------------------------------
#    ** Type                      = LDPC_5G
#    ** Systematic                = yes
#    ** Base graph                = BG2
#    ** Index list                = 0
#    ** Zc                        = 4
#    ** K LDPC                    = 40
#    ** N LDPC                    = 208
#    ** G matrix path             = ../conf/enc/LDPC/5G/NR_2_0_4.txt
# * Decoder ---------------------------------------
#    ** Type (D)                  = BP_HORIZONTAL_LAYERED
#    ** Implementation            = SPA
#    ** Systematic                = yes
#    ** H matrix path             = ../conf/dec/LDPC/5G/NR_2_0_4.qc
#    ** H matrix reordering       = NONE
#    ** Num. of iterations (i)    = 10
#    ** Stop criterion (syndrome) = off
# * Puncturer -------------------------------------
#    ** Type                      = LDPC_5G
#    ** Pattern                   = {}
# * Modem -----------------------------------------
#    ** Type                      = BPSK
#    ** Implementation            = STD
#    ** Bits per symbol           = 1
#    ** Sigma square              = on
# * Channel ---------------------------------------
#    ** Type                      = AWGN
#    ** Implementation            = FAST
#    ** Complex                   = off
#    ** Add users                 = off
# * Monitor ---------------------------------------
#    ** Lazy reduction            = off
#    ** Frame error count (e)     = 100
#    ** Compute mutual info       = no
# * Terminal --------------------------------------
#    ** Show Sigma                = off
#    ** Enabled                   = yes
#    ** Frequency (ms)            = 500
#
# The simulation is running...
# ---------------------||--------------------------------------------------------||---------------------
#  Signal Noise Ratio  ||    Bit Error Rate (BER) and Frame Error Rate (FER)     ||  Global throughput
#         (SNR)        ||                                                        ||  and elapsed time
# ---------------------||--------------------------------------------------------||---------------------
# ----------|----------||------------|----------|----------|----------|----------||----------|----------
#     Es/N0 |    Eb/N0 ||        FRA |       BE |       FE |      BER |      FER ||  SIM_THR |    ET/RT
#      (dB) |     (dB) ||            |          |          |          |          ||   (Mb/s) | (hhmmss)
# ----------|----------||------------|----------|----------|----------|----------||----------|----------
      -3.01 |     0.00 ||        168 |      459 |      115 | 1.37e-01 | 6.85e-01 ||    0.926 | 00h00'00
      -2.01 |     1.00 ||        245 |      495 |      111 | 1.01e-01 | 4.53e-01 ||    1.101 | 00h00'00
      -1.01 |     2.00 ||        409 |      432 |      103 | 5.28e-02 | 2.52e-01 ||    1.240 | 00h00'00
      -0.01 |     3.00 ||       1340 |      469 |      101 | 1.75e-02 | 7.54e-02 ||    1.533 | 00h00'00
       0.99 |     4.00 ||       5132 |      428 |      101 | 4.17e-03 | 1.97e-02 ||    1.913 | 00h00'00
       1.99 |     5.00 ||      34871 |      397 |      100 | 5.69e-04 | 2.87e-03 ||    2.490 | 00h00'00
       2.99 |     6.00 ||     201414 |      441 |      100 | 1.09e-04 | 4.96e-04 ||    3.142 | 00h00'01
       3.99 |     7.00 ||    1136553 |      426 |      100 | 1.87e-05 | 8.80e-05 ||    3.441 | 00h00'06
       4.99 |     8.00 ||    8469863 |      398 |      100 | 2.35e-06 | 1.18e-05 ||    3.802 | 00h00'44
# End of the simulation.

